Name;Sex;Age;Height;Weight;Team;Year;Sport
Rocco Spinola;M;46;180;90;Brazil;2016;Shooting
Vinzenz Buchberger;M;46;174;80;Russia;2016;Equestrianism
Conrad Rochat;F;47;169;66;Germany;2016;Equestrianism
John Howard Louis Lecompte;F;47;163;57;United States;2016;Shooting
Kim Hyeon-Ju;F;47;169;63;Germany;2016;Equestrianism
Kim Hyeon-Jun;F;47;169;63;Germany;2016;Equestrianism
Park Dae-Jong;F;47;168;93;Switzerland;2016;Shooting
Park Dong-Cheol;F;47;168;93;Switzerland;2016;Shooting
Rafael Argelio Lecuona Asencio;F;47;163;57;United States;2016;Shooting
Roger Rochard;F;47;169;66;Germany;2016;Equestrianism
Alfredo Santoro;M;47;186;81;Netherlands;2016;Equestrianism
"Arne ""Aki"" Tammisto";M;47;187;83;Argentina;2016;Equestrianism
Karel Tammjrv;M;47;187;83;Argentina;2016;Equestrianism
Nathalie Santer (-Bjrndalen);M;47;186;81;Netherlands;2016;Equestrianism
Eugne Auguste Antoine Duflot;F;48;158;56;Mexico;2016;Equestrianism
Glenn Read;F;48;172;58;Germany;2016;Equestrianism
Lucia Recchia (-Wieser);F;48;172;58;Germany;2016;Equestrianism
Douglas Gilbert Lamb;M;48;178;84;United States;2016;Shooting
Pekka Antero Leimu;M;48;170;65;Canada;2016;Equestrianism
Simo Mikko Yrjn Leinonen;M;48;170;65;Canada;2016;Equestrianism
Fanny Horta;M;49;182;86;Great Britain;2016;Equestrianism
Osamu Kodama;M;49;171;84;Dominican Republic;2016;Shooting
Otto Frei;M;49;182;86;Great Britain;2016;Equestrianism
Petra Majdi;M;49;178;95;Individual Olympic Athletes;2016;Shooting
Vasile igna;M;49;183;86;Cuba;2016;Shooting
John-John Dohmen;F;50;176;58;Spain;2016;Equestrianism
Olaf Hense;F;50;163;51;Canada;2016;Shooting
Shingo Doi;F;50;176;58;Spain;2016;Equestrianism
Gunnar Fredrik Hjer;M;50;185;95;Sweden;2016;Shooting
Melissa Jane Ingram;M;50;175;74;Colombia;2016;Shooting
Anthony Henri Vanden Borre;F;51;159;57;France;2016;Equestrianism
"Johan Wilhelm ""Hans"" van Wijnen";F;51;159;57;France;2016;Equestrianism
